  0.000000E+00 -0.756049E+00 -0.700188E+00 -0.685371E+00 -0.336358E+00 -0.232245E+00 -0.216680E+00 -0.206731E+00 -0.198565E+00 -0.173108E+00 -0.157317E+00 -0.136974E+00 -0.135333E+00 -0.112765E+00 -0.992180E-01 -0.914982E-01 -0.897040E-01 -0.758434E-01 -0.574099E-01 -0.251686E-01  0.860775E-02  0.161784E-01  0.619442E-01  0.932434E-01  0.123208E+00  0.135834E+00  0.147579E+00  0.177739E+00  0.184529E+00  0.199457E+00  0.201137E+00  0.216487E+00
  0.816216E-01 -0.756021E+00 -0.700202E+00 -0.685352E+00 -0.337061E+00 -0.232084E+00 -0.216713E+00 -0.206576E+00 -0.198331E+00 -0.172982E+00 -0.157517E+00 -0.137442E+00 -0.133909E+00 -0.112606E+00 -0.991288E-01 -0.915804E-01 -0.888826E-01 -0.762505E-01 -0.573553E-01 -0.245172E-01  0.110668E-01  0.193704E-01  0.627134E-01  0.925741E-01  0.116479E+00  0.127518E+00  0.148403E+00  0.172338E+00  0.180475E+00  0.193882E+00  0.194723E+00  0.197848E+00
  0.163243E+00 -0.755952E+00 -0.700233E+00 -0.685305E+00 -0.338715E+00 -0.231713E+00 -0.216681E+00 -0.206267E+00 -0.197776E+00 -0.172631E+00 -0.157878E+00 -0.137568E+00 -0.131554E+00 -0.112499E+00 -0.989412E-01 -0.915173E-01 -0.865507E-01 -0.773424E-01 -0.572686E-01 -0.226281E-01  0.172997E-01  0.285411E-01  0.641710E-01  0.854221E-01  0.108895E+00  0.120782E+00  0.132134E+00  0.153451E+00  0.168480E+00  0.174859E+00  0.184854E+00  0.190687E+00
  0.244865E+00 -0.755882E+00 -0.700263E+00 -0.685258E+00 -0.340326E+00 -0.231403E+00 -0.216456E+00 -0.206108E+00 -0.197288E+00 -0.172174E+00 -0.158129E+00 -0.137422E+00 -0.129638E+00 -0.112744E+00 -0.989102E-01 -0.910672E-01 -0.836489E-01 -0.786875E-01 -0.572741E-01 -0.200726E-01  0.239895E-01  0.421957E-01  0.621442E-01  0.796474E-01  0.946831E-01  0.113549E+00  0.125752E+00  0.139979E+00  0.153823E+00  0.169540E+00  0.178134E+00  0.183255E+00
  0.326487E+00 -0.755854E+00 -0.700276E+00 -0.685239E+00 -0.340983E+00 -0.231300E+00 -0.216295E+00 -0.206094E+00 -0.197121E+00 -0.171934E+00 -0.158217E+00 -0.137341E+00 -0.128917E+00 -0.112935E+00 -0.989517E-01 -0.907824E-01 -0.821383E-01 -0.794659E-01 -0.573154E-01 -0.187068E-01  0.268747E-01  0.517633E-01  0.600813E-01  0.776488E-01  0.849822E-01  0.108718E+00  0.120552E+00  0.142525E+00  0.154564E+00  0.164456E+00  0.175574E+00  0.178877E+00
  0.408108E+00 -0.755882E+00 -0.700263E+00 -0.685258E+00 -0.340326E+00 -0.231403E+00 -0.216456E+00 -0.206108E+00 -0.197288E+00 -0.172174E+00 -0.158129E+00 -0.137422E+00 -0.129638E+00 -0.112744E+00 -0.989102E-01 -0.910672E-01 -0.836489E-01 -0.786875E-01 -0.572741E-01 -0.200726E-01  0.239895E-01  0.421957E-01  0.621442E-01  0.796475E-01  0.946832E-01  0.113549E+00  0.125752E+00  0.139979E+00  0.153823E+00  0.169539E+00  0.178133E+00  0.183254E+00
  0.489730E+00 -0.755952E+00 -0.700233E+00 -0.685305E+00 -0.338715E+00 -0.231713E+00 -0.216681E+00 -0.206267E+00 -0.197776E+00 -0.172631E+00 -0.157878E+00 -0.137568E+00 -0.131554E+00 -0.112499E+00 -0.989412E-01 -0.915171E-01 -0.865507E-01 -0.773424E-01 -0.572686E-01 -0.226281E-01  0.172997E-01  0.285411E-01  0.641711E-01  0.854220E-01  0.108895E+00  0.120782E+00  0.132134E+00  0.153451E+00  0.168480E+00  0.174858E+00  0.184853E+00  0.190687E+00
  0.571351E+00 -0.756021E+00 -0.700202E+00 -0.685352E+00 -0.337061E+00 -0.232084E+00 -0.216713E+00 -0.206576E+00 -0.198331E+00 -0.172982E+00 -0.157517E+00 -0.137442E+00 -0.133909E+00 -0.112606E+00 -0.991288E-01 -0.915804E-01 -0.888827E-01 -0.762505E-01 -0.573554E-01 -0.245172E-01  0.110668E-01  0.193704E-01  0.627134E-01  0.925741E-01  0.116479E+00  0.127518E+00  0.148403E+00  0.172338E+00  0.180474E+00  0.193883E+00  0.194725E+00  0.197847E+00
  0.110658E+01 -0.755978E+00 -0.700269E+00 -0.685376E+00 -0.336738E+00 -0.231439E+00 -0.216052E+00 -0.206446E+00 -0.198398E+00 -0.173387E+00 -0.158762E+00 -0.137499E+00 -0.134454E+00 -0.112976E+00 -0.991719E-01 -0.912751E-01 -0.887450E-01 -0.761193E-01 -0.588293E-01 -0.251054E-01  0.902134E-02  0.201975E-01  0.647206E-01  0.942934E-01  0.118731E+00  0.128951E+00  0.151038E+00  0.169736E+00  0.179494E+00  0.185857E+00  0.195117E+00  0.202688E+00
  0.118820E+01 -0.755925E+00 -0.700295E+00 -0.685342E+00 -0.338052E+00 -0.230918E+00 -0.215781E+00 -0.206049E+00 -0.198131E+00 -0.173414E+00 -0.159150E+00 -0.137857E+00 -0.132457E+00 -0.112795E+00 -0.989821E-01 -0.913411E-01 -0.867676E-01 -0.767560E-01 -0.590774E-01 -0.245919E-01  0.136886E-01  0.267778E-01  0.650724E-01  0.894192E-01  0.111672E+00  0.126186E+00  0.136349E+00  0.160452E+00  0.164377E+00  0.175379E+00  0.194705E+00  0.198603E+00
